"n.sites","n.post.yrs","n.pre.yrs","psi_bh","c_H","c_S","phi_Hb","delta_s","delta_L","e_S","e_L","g_S","d_L"
991,2,1,0.190212324867467,0.745158592410712,0.479911675271438,0.292929367627832,0.0871810773725389,0.0510023752030684,0.172526672819629,0.319257991905999,0.920047256659996,0.531161944139213
310,9,2,0.727031011324888,0.588426700763334,0.745078156397771,0.549785696426383,0.657004518476734,0.112580360732285,0.43906317191394,0.462543221376138,0.666878311010147,0.200430457316712
758,3,10,0.309375817242102,0.632129472705815,0.107292461981019,0.307623623987613,0.11673433113154,0.0250603947948051,0.476134648753633,0.210092075217259,0.789047592808888,0.25331094854502
910,9,3,0.874423009957885,0.811341457590275,0.0166781556130853,0.845543652531435,0.821393370786798,0.602074607920642,0.34807637223457,0.887364581283624,0.991371033345349,0.96678482188927
582,2,2,0.423236729575857,0.48602689418504,0.716105173902516,0.0753825818656478,0.801400182861532,0.422932134160507,0.725555717257503,0.664292642540787,0.252220782923093,0.490321236227453
658,7,2,0.904133493652544,0.716536016418226,0.792394533733069,0.993835195195559,0.469005007223389,0.33087345845773,0.298824556166772,0.841985131862736,0.916248668452399,0.228655239099334
471,6,2,0.076745840607048,0.479408196600759,0.0823820895502577,0.381172036846518,0.101862577062193,0.041386076974081,0.238573604043294,0.758220147444122,0.937287989281933,0.718438704290427
901,2,4,0.0713536775853252,0.802102016770863,0.259911775133316,0.997954338234477,0.502107484262483,0.136384552579463,0.811015212610178,0.738169372949097,0.706939605128323,0.979438080908032
853,6,3,0.468642643379234,0.848488436484849,0.715996994445473,0.528339814650803,0.203423430339061,0.125205347760735,0.408753909146786,0.275786588295759,0.287313715709094,0.554009727001237
796,3,6,0.913237671427429,0.906692770995549,0.955362559794658,0.445909728845092,0.338227969221119,0.270020551106551,0.732794429735746,0.444315042309486,0.955142022504611,0.792614502507797
906,3,9,0.7754733537619,0.991262084105983,0.40351919973793,0.0651834547986276,0.698626689411653,0.250159361535754,0.126733763099182,0.0485418539252831,0.542362655352755,0.474891710059089
289,1,2,0.81819344906644,0.741488345487462,0.184417284925259,0.321020154316095,0.112582108067884,0.0333155356725439,0.393358671692666,0.318964316109847,0.199804227851401,0.0928702224448556
233,2,6,0.473619208198343,0.145999425738887,0.426069808761892,0.755949139583786,0.980815292684478,0.532012386836563,0.110505077316472,0.447052568449383,0.990639689432015,0.677776365678641
824,7,2,0.384541866028192,0.847888688473753,0.721815156705002,0.0433493883217452,0.184870567573165,0.180141931398224,0.886637949274527,0.505931649245857,0.448475528886262,0.326620281204581
598,6,9,0.621378451204603,0.9727290043663,0.622302553003374,0.437877068844787,0.337645679818862,0.221845075987838,0.817301164118433,0.634090383879864,0.434839083110006,0.78172353383333
646,4,8,0.664451475903112,0.578092449151701,0.853037561399001,0.591277703136718,0.709645502600656,0.148060959966669,0.428335506359767,0.755179393659229,0.396365309645957,0.759249038436473
854,10,9,0.307742535468773,0.297266715929331,0.630067136251368,0.685725259270077,0.470393922216399,0.0688775074441127,0.905327910122811,0.650621123787062,0.586257409477374,0.882897431383911
394,8,7,0.312759372661728,0.654589726020372,0.697854897725582,0.552590888980613,0.0312798994919052,0.0217606680666756,0.237068509654002,0.756474759188457,0.97469556844132,0.771489080551593
519,1,9,0.978079138751468,0.9752869852287,0.717629725784715,0.876226329130516,0.556542532998766,0.352490587167365,0.906848731554649,0.716670454081823,0.687023690426233,0.903273958988301
485,6,4,0.359094223129237,0.048952625156194,0.0889977698838105,0.347274598151213,0.164085883176187,0.137329058238076,0.0194616780711338,0.469147048632405,0.93777884117919,0.732628560674517
477,5,2,0.437458348227572,0.378775822854275,0.260018242271105,0.665082979239291,0.298016269288515,0.189671026026382,0.466533750322298,0.398854541903315,0.999973961264454,0.35825781402865
163,3,8,0.850728972581471,0.31792195510997,0.5343935584452,0.248498812899971,0.169446805301192,0.0342937650182364,0.700756543171778,0.51212063527375,0.500676883064094,0.889818988897488
665,3,2,0.986039235478686,0.961733671130287,0.180426387183019,0.446416354851075,0.468695644081593,0.227887028485675,0.154701291000447,0.635591993359523,0.675947412962304,0.222940937066614
907,4,6,0.944903185820812,0.715265241134842,0.126740712603671,0.400925577476458,0.588185490363115,0.0267744094525779,0.233126319861948,0.831562387222983,0.0349916986726923,0.451730674016243
93,2,5,0.619914191334811,0.457186190122133,0.111236061256542,0.413448012280953,0.0392506624569884,0.0383844245279876,0.80852158600681,0.787945429661195,0.560236091815238,0.329231087846425
767,7,7,0.234634068975621,0.168000153299957,0.45538137934946,0.314424614037829,0.846585350441397,0.365666526691033,0.620889383471385,0.965206421634276,0.670000451531634,0.281159921884607
935,8,5,0.354373174741538,0.419354572781688,0.926211146995379,0.249128945419425,0.00174096188575495,0.000235202699950492,0.613262369956053,0.976659798266063,0.963581500615482,0.69064803706808
241,9,8,0.881045563977282,0.342403390108794,0.181005545245996,0.163025908042584,0.206188135440671,0.0512048314619208,0.47231463780487,0.745664828840201,0.404003002028493,0.420510832335916
917,1,1,0.42703404228841,0.838550372541952,0.122266651638597,0.483163785279798,0.477442044325545,0.255735255434448,0.516178412567312,0.234467124313931,0.509447808527667,0.34261582302514
717,4,2,0.592905007239804,0.227525325149111,0.500492900939984,0.674877160514868,0.935789904396026,0.107591864346758,0.221001422944688,0.286827547215391,0.502555148282694,0.614684149545129
678,7,5,0.547665455360664,0.879466727929143,0.6366723595032,0.473668023263547,0.892576166918105,0.862406710279023,0.255872663574084,0.788325259794155,0.165693118063803,0.888190152291628
518,7,5,0.13423993676051,0.486660562240821,0.735177942624805,0.962056923709344,0.407291499378299,0.348873213449682,0.0479592154543847,0.9788332969032,0.685950765854306,0.285652472418128
966,9,8,0.514576422735676,0.720827293520141,0.882452966849925,0.333408921101503,0.0156939665215323,0.010330814098087,0.829761229473469,0.50045179172128,0.958752669629874,0.333323096611677
770,8,7,0.987637084653392,0.725782690021792,0.148094244666887,0.428034010950406,0.926800670734677,0.411249173274604,0.717688324466418,0.991723768423195,0.314904885606677,0.914037548616854
