"n.sites","n.pre.Bsal.pre.treat","n.pre.Bsal.post.treat","n.post.yrs","n.Bsal.sites","psi_bh","c_H","c_H_pro","c_S_pro","phi_Hb","phi_Hb_pro","delta_s_pro","delta_L_pro","e_S_pro","e_L_pro","g_S_pro","d_L_pro"
255,3,9,6,5,0.68110012632315,0.931957724351995,0.986764965304271,0.102569348866702,0.897211345733097,0.903385093252385,0.439857332571829,0.0306240715592874,0.460421251560422,0.546533355258871,0.279566732781334,0.968410142481956
108,8,4,4,4,0.129476529163704,0.486236153762671,0.571591025748594,0.866678437944874,0.600174281800538,0.791353416983975,0.67535417157514,0.254398817290262,0.225786182078207,0.16309562308616,0.804774042428169,0.906978570443811
764,5,7,4,4,0.95446690287753,0.834814358795132,0.961476349096404,0.65100431009212,0.542468548542773,0.959430820647214,0.664493213932449,0.645040119272544,0.759451474042819,0.31514262586697,0.643226195362024,0.981845873004897
887,6,6,7,3,0.733628458988015,0.151632064770884,0.495653233371101,0.768585888851504,0.308780310575967,0.559259555709832,0.0698318678095005,0.0161351730660994,0.12318764931804,0.160706254368275,0.669004142435896,0.824861994161061
23,6,10,3,1,0.268201724142279,0.141324447238795,0.793590788422492,0.214451783193066,0.965146067582117,0.990665834452946,0.559408407254447,0.462565933497851,0.590512613967969,0.962403557355166,0.2732160491382,0.898373142312258
968,4,9,10,1,0.974838117878465,0.559014385796804,0.977241194484407,0.548073268953548,0.810240209813183,0.962180079032071,0.410043906808225,0.138001908550676,0.121092426963872,0.018032188015827,0.712028229886037,0.197382606663252
133,9,3,5,3,0.209518353208038,0.573671595943905,0.738066181385717,0.152875490302755,0.0995989689688431,0.860110026478258,0.296844671312394,0.225859808484582,0.940038315080106,0.400409157712222,0.785894045394473,0.522542335059005
128,3,9,3,2,0.143809864057088,0.22695691731323,0.790484145003671,0.0629714500282425,0.062327225510194,0.480577621823877,0.671304044051026,0.169009153021112,0.958917658070219,0.764834285401879,0.311343272002158,0.771865224441048
26,5,8,3,1,0.763135984412441,0.336527496629744,0.392171433523675,0.187926094479789,0.744406787431776,0.956597553893337,0.308136068806425,0.171188162186737,0.876520098355249,0.762157878459338,0.943570735301846,0.93356765854063
232,8,7,7,5,0.596436439711647,0.443766083214199,0.598687536576465,0.926731201317301,0.565065466499655,0.763777626453251,0.961260831777798,0.90412752930269,0.740175138707622,0.73997807079968,0.5603799841234,0.0187398249271559
