"n.sites","n.pre.Bsal.pre.treat","n.pre.Bsal.post.treat","n.post.Bsal.pre.treat","n.post.Bsal.post.treat","n.Bsal.sites","psi_bh","c_H","c_H_pro","c_H_pro_react","c_S_pro","c_S_pro_react","phi_Hb","phi_Hb_pro","phi_Hb_pro_react","delta_s_pro","delta_s_pro_react","delta_L_pro","delta_L_pro_react","e_S_pro","e_S_pro_react","e_L_pro","e_L_pro_react","g_S_pro","g_S_pro_react","d_L_pro","d_L_pro_react"
644,5,7,4,7,2,0.496866559473542,0.998266309969197,0.999925302838333,0.999975066880134,0.386969409108185,0.767332287603939,0.59293567168226,0.595275512359389,0.637687210135402,0.130590573142609,0.970416272294731,0.0936823304965839,0.0357463100280642,0.317504217550578,0.89948960332607,0.190951660406752,0.635838176122192,0.978059782017767,0.0251106364254382,0.131941550611076,0.593286810892958
259,9,5,7,3,2,0.560083325738925,0.0242980802205391,0.801053130354101,0.839010629314876,0.821729044137406,0.867538578167358,0.326066560581047,0.910753227592597,0.978770524013628,0.856574957521772,0.834477432035469,0.209518248999337,0.194685223004471,0.450764102850715,0.553170073086498,0.156745677095233,0.328914000682426,0.202417512241704,0.0139070674021299,0.348123621615395,0.656430469578824
286,3,2,6,3,4,0.820058592109289,0.56165050840308,0.948459531733106,0.996932115965989,0.778190901076375,0.990679252197958,0.967365298171411,0.986919572253114,0.997108718527614,0.73179172986825,0.75315708019305,0.00125434346793264,0.112635003956466,0.349013906634552,0.737519317899606,0.640529348890786,0.991305314564766,0.88376470689897,0.548513286902288,0.255370415068418,0.736601285848224
657,4,6,3,7,1,0.753389204269601,0.0325843406531494,0.31315879013927,0.562770379897369,0.0743761435722932,0.344083856151683,0.930512010326237,0.952357661970608,0.983246743643093,0.234367204931239,0.587878537497134,0.127913633182507,0.361217854634592,0.858145203892654,0.873479768720556,0.295008344917209,0.953607573753134,0.973771229253383,0.47082344998624,0.432411159386719,0.913366738709793
791,4,8,5,9,3,0.285015214007837,0.500171167888166,0.847081728692107,0.98919239445842,0.477431023795577,0.932011849568698,0.149688245864515,0.410163755150751,0.486580490441873,0.951883030251158,0.673489666683343,0.284470417336974,0.422552327726335,0.945910718061077,0.963563906592737,0.378656755910604,0.883695380193572,0.535084641638817,0.0545275960854018,0.527091903128056,0.815852790647046
358,7,7,5,3,4,0.495296779309027,0.260000664439052,0.867380421408897,0.892825203477684,0.86802542409515,0.972018347333637,0.0973298735290067,0.898304206349252,0.9292683059354,0.205917254785867,0.282948242730391,0.0410112825530572,0.0904767215666031,0.0233120300881797,0.127343220846293,0.695667366226483,0.760612479028137,0.983861558304657,0.0426708960071422,0.346644844996999,0.424647710856619
333,7,8,5,4,3,0.537462245431682,0.0529915159514174,0.960762863054213,0.999880645932818,0.279012205149233,0.600970510704336,0.748921371817612,0.852058963377787,0.85554278656499,0.893125246472377,0.794840522332489,0.736817643034518,0.75928721550957,0.13029854514983,0.796670177897473,0.206530207647919,0.382416570046497,0.64869645243003,0.126089429885239,0.55871928913272,0.858870486228693
189,3,10,5,4,2,0.405495367950224,0.14550086501406,0.64976466818967,0.838156672567623,0.40838545494983,0.547744582898464,0.382484708972205,0.421668919507818,0.851947330288564,0.567333869556501,0.318754598922702,0.430974267749731,0.171740241737613,0.592824876152468,0.933256007006597,0.946665645657363,0.969031456741488,0.401381826037611,0.121074900461737,0.977426314298995,0.994397709811726
867,9,7,6,5,4,0.763998643787438,0.568159316404071,0.689800658646782,0.70599926984419,0.373904438461596,0.704928663212674,0.756251674788143,0.824271098399163,0.900216241423469,0.372223395837983,0.923050711762556,0.346272035961727,0.649927136634526,0.173244831993221,0.941475978497654,0.291811418415722,0.426790022327522,0.225365772172506,0.0584642696014589,0.00461135207582265,0.652981524817495
744,7,7,8,7,2,0.868647208875045,0.185235730546713,0.908118570243526,0.949009437714815,0.55008856922572,0.90899036269338,0.99041261363083,0.999738279505676,0.999947630000887,0.279315037594596,0.300252909738733,0.0817549103432426,0.0178255246100157,0.298201426973566,0.84653551463105,0.956002421719488,0.960493972556122,0.942152148850798,0.273009504498842,0.114736720327381,0.649199858972161
