"n.sites","n.pre.yrs","n.post.Bsal.pre.treat","n.post.Bsal.post.treat","n.Bsal.sites","psi_bh","c_H","c_H_react","c_S","c_S_react","phi_Hb","phi_Hb_react","delta_s","delta_s_react","delta_L","delta_L_react","e_S","e_S_react","e_L","e_L_react","g_S","g_S_react","d_L","d_L_react"
660,2,6,9,3,0.781094300109264,0.689126304612891,0.886517738688368,0.640277222390007,0.718974942291667,0.299319462575391,0.486352737407431,0.161167864908744,0.654546421588957,0.0289238479878021,0.48292210745228,0.90521549009101,0.977171688527425,0.150738375025801,0.59651538357353,0.814473131828429,0.81388566675381,0.51299653318231,0.712830177696779
321,3,7,4,4,0.500892175889807,0.621563553752541,0.907245438963539,0.362872165242629,0.849497424903209,0.487189214071515,0.926383018574578,0.537924614250986,0.612641713418276,0.468612213613381,0.462529044371595,0.924969471065048,0.98909124228164,0.533788546574046,0.817643059296718,0.272223781523667,0.163698565557185,0.355310213556373,0.38255734360501
589,7,4,6,3,0.432010758379172,0.669697631418705,0.817334011248712,0.867456359467679,0.889182674175293,0.430645500541013,0.596399488115613,0.153769789224258,0.47893310864293,0.00322904769828323,0.468818868913496,0.629595998120657,0.882491866703668,0.189825615991629,0.984611132328326,0.561807983692409,0.026286685848555,0.616421861437801,0.89403847646862
472,5,3,3,2,0.265421915405733,0.289898064860166,0.495593579121521,0.437242118926579,0.502454508206676,0.605537660283572,0.944794894324719,0.880410930462508,0.25092714969581,0.0100149259169476,0.190371187398045,0.780393772063265,0.861900612532559,0.497469438370597,0.77585118037994,0.542285275388043,0.302368405648398,0.988347289023968,0.992704192507475
93,4,5,8,4,0.351965954060713,0.427165770279826,0.660063355877368,0.705187268535583,0.91878149871678,0.77733533784186,0.835036919787803,0.778152906541713,0.0554181840914767,0.453224202457794,0.0445785010602066,0.28407003203535,0.292781806962805,0.163066341011692,0.966186441028712,0.305156174986693,0.139077391034777,0.773780308232689,0.784591460068065
720,8,7,6,1,0.490552891299501,0.0470128133770777,0.829237617300201,0.340980576302507,0.588833316325991,0.195343823181256,0.369712774562799,0.0883306859661127,0.605130062824255,0.0778188791139242,0.451387207774984,0.166507110182056,0.99181943071979,0.251869451494142,0.58616842548737,0.612098656068905,0.305680477117826,0.0461130644848803,0.851905122245228
392,7,9,8,4,0.745301204951084,0.416055776234064,0.836278237611623,0.74663416914104,0.791082107758346,0.357154386263946,0.84066693948314,0.753279294818011,0.595782487006672,0.473136486692851,0.0416677139050145,0.93007719534121,0.942906792517302,0.735425094308238,0.863479951740207,0.886982613918837,0.552735192673263,0.150206682740012,0.681750816452264
483,3,4,3,4,0.706749103732128,0.623896225407976,0.848488502616846,0.758298365076561,0.872945360028236,0.608583614087431,0.927093634326539,0.416452586178365,0.529429151055031,0.290844896201872,0.280215661190095,0.234807585555245,0.884408931902254,0.0858834267745726,0.55453220621311,0.1248076674134,0.111623870162009,0.216522322483477,0.516435537755872
533,10,9,9,2,0.12643673277474,0.57871784731918,0.666767522101556,0.881626688647061,0.937445202383092,0.34165688341381,0.431418830835585,0.0873796038721455,0.181436990151415,0.0408476291127419,0.127630149763672,0.152249147698493,0.240829678963355,0.323249940617685,0.436338557533042,0.181575830954988,0.04553320606852,0.554740021458245,0.871307937455419
588,8,9,2,1,0.417066665899497,0.798781720865774,0.948238689290372,0.458877392204246,0.932841999767441,0.218646545683546,0.80228648972097,0.0587978619125206,0.216855598145211,0.00248089147501309,0.00133384338305581,0.809306648938428,0.98730437245925,0.555237370369746,0.642384525971771,0.846653742233315,0.790101422832836,0.825432531262445,0.998945896739196
999,10,7,9,2,0.0452010452267481,0.633204936860199,0.667293256479336,0.227111073014676,0.257838819685673,0.412890512985364,0.65504305736874,0.230069595298963,0.80608129533797,0.141194462304907,0.319930568206213,0.176301013801713,0.398183639949828,0.152103889366728,0.681488357650785,0.837216018620948,0.553521709393952,0.575329745987058,0.727054598566547
